benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
FreeSolv,Domain Adaptation (MMD),47,0.31000000000000005,24,259,-3.12,650.299,2.0672398668146497,2.4751041326486107,0.25126050420168067,4.2257795638887465,2.0415708205303207,357
FreeSolv,Domain Adaptation (MMD),48,0.5,24,259,-2.93,637.403,1.9462624885706643,2.4147704241961607,0.257983193277311,3.974642695061875,1.9480260812438588,357
FreeSolv,Domain Adaptation (MMD),49,0.8800000000000003,24,259,-2.55,637.943,1.9615757759444947,2.4302679136219965,0.2495798319327731,4.046999846367829,2.226286610566673,357
FreeSolv,Domain Adaptation (MMD),50,0.30000000000000027,24,259,-3.13,613.597,2.108940083090674,2.4587499622096023,0.25014005602240896,4.102991566640184,1.9548871512435824,357
FreeSolv,Domain Adaptation (MMD),51,0.8700000000000001,24,259,-2.56,633.751,2.070994000606603,2.442777009487201,0.2526610644257704,4.040338868167522,2.5157435924880462,357
FreeSolv,Soft Parameter Sharing,44,0.9200000000000004,24,259,-2.51,381.709,2.001225909312487,2.42108562564232,0.24145658263305325,3.9708688316337346,2.2062293254875884,357
FreeSolv,Soft Parameter Sharing,45,0.5,24,259,-2.93,354.963,1.95403762530943,2.4754201459766088,0.27226890756302524,4.2914678298126105,2.995696231859713,357
FreeSolv,Soft Parameter Sharing,46,0.5,24,259,-2.93,383.096,2.001597541632425,2.4784593343462555,0.25630252100840345,4.278003308360295,4.140733131685838,357
FreeSolv,Soft Parameter Sharing,49,0.27,24,259,-3.16,353.844,1.9609541882726003,2.412585675805153,0.24789915966386555,3.94601559589868,3.2687224902633165,357
FreeSolv,Soft Parameter Sharing,47,0.31000000000000005,24,259,-3.12,373.624,1.9378108538527048,2.4970135993820377,0.2621848739495799,4.418453766636546,3.2911840328293613,357
FreeSolv,Pseudo-Labeling,42,2.3600000000000003,24,259,-1.07,338.697,1.8895181782386419,2.4243928154197447,0.2439775910364146,4.058253923678595,1.9538967012779174,357
FreeSolv,Soft Parameter Sharing,48,0.31000000000000005,24,259,-3.12,381.86,1.9981484082209522,2.4444767358102872,0.2397759103641457,4.093766078673757,2.228584341965646,357
FreeSolv,Pseudo-Labeling,43,0.45999999999999996,24,259,-2.97,332.907,2.065610247107429,2.455943853291992,0.2420168067226891,4.128837719215341,2.1393227125467793,357
FreeSolv,Soft Parameter Sharing,50,0.5,24,259,-2.93,384.201,2.0502024512276216,2.4677977210409683,0.23893557422969192,4.188413664550515,6.9098435371524145,357
FreeSolv,Soft Parameter Sharing,51,0.5,24,259,-2.93,380.725,1.9218177938756604,2.463740048643543,0.2705882352941177,4.242681418955297,2.909558173763072,357
FreeSolv,Pseudo-Labeling,44,0.27,24,259,-3.16,338.067,1.8524277573908174,2.406392119023461,0.25546218487394956,3.9879729156926733,1.763017208644064,357
FreeSolv,Pseudo-Labeling,45,0.5,24,259,-2.93,317.48,1.9541472191317588,2.443286391187901,0.24341736694677873,4.12193616743714,1.8584764686311548,357
FreeSolv,Pseudo-Labeling,46,1.6400000000000001,24,259,-1.79,324.98,2.0571595995781364,2.4499291165502526,0.2484593837535014,4.09888338158371,2.0322829344094027,357
FreeSolv,Pseudo-Labeling,47,0.9200000000000004,24,259,-2.51,305.776,1.9927264345132747,2.4885826952789203,0.26610644257703087,4.34597603277339,2.007945221219784,357
FreeSolv,Pseudo-Labeling,49,0.5,24,259,-2.93,319.573,1.9394958088853367,2.4247149331448212,0.253781512605042,4.029571403163782,1.994462207677571,357
FreeSolv,Pseudo-Labeling,50,0.5500000000000003,24,259,-2.88,320.743,1.9090699421737805,2.4491874812581442,0.2624649859943977,4.1729314669160305,1.8652157471907749,357
FreeSolv,Pseudo-Labeling,51,0.5,24,259,-2.93,329.181,2.049982197035381,2.457631785712964,0.2526610644257704,4.133648485152403,2.2633525583311562,357
FreeSolv,Adapter,42,1.85,24,259,-1.58,325.14,2.1633942903609644,2.4423212020051364,0.2408963585434174,3.983001666978281,2.4955817420037643,357
FreeSolv,Adapter,43,0.5,24,259,-2.93,320.93,1.9722314627063382,2.445356362263979,0.25518207282913163,4.128432222342062,2.946376908128766,357
FreeSolv,Pseudo-Labeling,48,1.4300000000000002,24,259,-2.0,360.769,1.9126035303708626,2.41229316506469,0.26498599439775916,3.9832322137854175,1.9055660604266766,357
FreeSolv,Adapter,45,1.85,24,259,-1.58,316.56,2.0331830381324907,2.4523700382934286,0.2442577030812325,4.1219660244311775,2.1132048573950946,357
FreeSolv,Adapter,44,1.4300000000000002,24,259,-2.0,332.998,2.0725632668978693,2.4369444747962112,0.2588235294117648,4.010014792320992,2.068703431149139,357
