benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,calib_budget,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
Park-Fav,DNGO-Joint,42,2.051277131164388e-07,4,55,2.051277131164388e-07,603.524,9.5,0.4433860976711294,2.4431775257755994,0.45482233502538066,4.571642342234549,3.0362446423447955,197
Park-Fav,Two-Stage Joint,51,0.9061440243658865,4,55,0.9061440243658865,648.793,9.5,0.6476435569943407,2.4664096797164317,0.4055837563451776,4.655889096190385,3.244575096754085,197
Park-Fav,DNGO-Joint,43,1.1281375602258802e-07,4,55,1.1281375602258802e-07,607.876,9.5,0.42331486191151596,2.381541647605199,0.449746192893401,4.297814358766538,3.9139745373630466,197
Park-Fav,DNGO-Joint,44,2.051277131164388e-07,4,55,2.051277131164388e-07,572.402,9.5,0.28203193902500495,2.394421194939761,0.4751269035532995,4.36529912312282,4.097967574229804,197
Park-Fav,DNGO-Joint,46,2.586872597596253e-07,4,55,2.586872597596253e-07,531.196,9.5,0.3842734247148751,2.3866666074358425,0.46548223350253803,4.324208950000357,3.3546956358444575,197
Park-Fav,DNGO-Joint,45,1.5248471779533417e-07,4,55,1.5248471779533417e-07,551.933,9.5,0.2905006113394363,2.380771217297892,0.4715736040609137,4.305608572822326,3.5630672659225064,197
Park-Fav,DNGO-Joint,47,0.9061440243658865,4,55,0.9061440243658865,555.029,9.5,0.34953801300823734,2.397496251007686,0.47309644670050754,4.37500332853514,2.376316708041087,197
Park-Fav,DNGO-Joint,48,1.8122287920164053,4,55,1.8122287920164053,512.111,9.5,0.31295466331388033,2.425534887855581,0.47055837563451774,4.501596368280669,2.1786090882370495,197
Park-Fav,DNGO-Joint,50,1.137312731133618e-07,4,55,1.137312731133618e-07,498.464,9.5,0.42717068710362005,2.4151280523772747,0.450253807106599,4.445159510396106,1.987774733924715,197
Park-Fav,DNGO-Joint,49,2.572322875232211e-07,4,55,2.572322875232211e-07,540.101,9.5,0.2895172757928527,2.4705039054148896,0.4746192893401015,4.711146534785858,2.5784922529791294,197
Park-Fav,DNGO-Joint,51,0.9061440243658865,4,55,0.9061440243658865,509.084,9.5,0.4653536835731972,2.461872733977691,0.4375634517766499,4.657155299873589,2.461263288828301,197
Park-Fav,DNGO-Gradient,42,2.051277131164388e-07,4,55,2.051277131164388e-07,577.166,9.5,0.5031318444543635,2.4446847117783266,0.43604060913705595,4.572414352969279,3.158422242291278,197
Park-Fav,DNGO-Gradient,43,1.1281375602258802e-07,4,55,1.1281375602258802e-07,560.07,9.5,0.47206550443093714,2.382923719218648,0.4436548223350255,4.298665716511341,3.915104092902919,197
