benchmark,model,acq,mean
Park-Unfav,Sequential,ei,1.2859648491608493e-07
Park-Unfav,Sequential,pi,0.04530481091871751
Park-Unfav,Sequential,ucb,1.222384330105272e-07
Park-Unfav,Sequential,mes,1.2208178996169519e-07
Park-Unfav,Sequential,ts,1.1048443538050455e-07
Park-Unfav,Soft Parameter Sharing,greedy,0.04530482695595889
Park-Unfav,Soft Parameter Sharing,ei,1.247147894719918e-07
Park-Unfav,Soft Parameter Sharing,pi,0.0453062705277543
Park-Unfav,Soft Parameter Sharing,ucb,1.2604169451429708e-07
Park-Unfav,Soft Parameter Sharing,mes,1.2808502918056998e-07
Park-Unfav,Soft Parameter Sharing,ts,1.0994576024860311e-07
Park-Unfav,Two-Stage Joint,greedy,1.2516105032212085e-07
Park-Unfav,Two-Stage Joint,ei,1.2419808589439022e-07
Park-Unfav,Two-Stage Joint,pi,1.2482313023895652e-07
Park-Unfav,Two-Stage Joint,ucb,1.2675736991302527e-07
Park-Unfav,Two-Stage Joint,mes,1.2671432605081517e-07
Park-Unfav,Two-Stage Joint,ts,1.1023443538175457e-07
COFs,Adapter,greedy,2.944353501029049
COFs,Adapter,ei,6.664741199285392
COFs,Adapter,pi,6.3403971277447795
COFs,Adapter,ucb,6.843670105558035
COFs,Adapter,mes,5.672561121821788
COFs,Adapter,ts,4.068056679438307
COFs,Curriculum,greedy,0.8959748230791531
COFs,Curriculum,ei,6.523142001881813
COFs,Curriculum,pi,5.70927504913515
COFs,Curriculum,ucb,6.4450135028477415
COFs,Curriculum,mes,6.169362768766487
COFs,Curriculum,ts,2.8445399667249482
COFs,DNGO-Gradient,greedy,0.8769999635650227
COFs,DNGO-Gradient,ei,6.131009224675662
COFs,DNGO-Gradient,pi,6.267281732947536
COFs,DNGO-Gradient,ucb,5.486403315765748
COFs,DNGO-Gradient,mes,5.960790677385587
COFs,DNGO-Gradient,ts,2.384273978139314
COFs,DNGO-Joint,greedy,0.9801474606902815
COFs,DNGO-Joint,ei,5.788560950019862
COFs,DNGO-Joint,pi,5.719133472466419
COFs,DNGO-Joint,ucb,5.3840761839263385
COFs,DNGO-Joint,mes,5.9534605490999475
COFs,DNGO-Joint,ts,3.7712477342076562
COFs,Domain Adaptation (MMD),greedy,1.6236683196687067
COFs,Domain Adaptation (MMD),ei,5.633716654878258
COFs,Domain Adaptation (MMD),pi,6.564376311531214
COFs,Domain Adaptation (MMD),ucb,6.425580433647515
COFs,Domain Adaptation (MMD),mes,5.889506455029137
COFs,Domain Adaptation (MMD),ts,3.4568160079280874
COFs,Knowledge Distillation,greedy,1.2578765900866258
COFs,Knowledge Distillation,ei,6.696195161594993
COFs,Knowledge Distillation,pi,5.648631874083906
COFs,Knowledge Distillation,ucb,6.228463507885037
COFs,Knowledge Distillation,mes,6.188725942459342
COFs,Knowledge Distillation,ts,3.1333606433049397
COFs,Progressive,greedy,3.0888499155556848
COFs,Progressive,ei,4.981671771059684
COFs,Progressive,pi,4.4680660915705515
COFs,Progressive,ucb,5.631420431583252
COFs,Progressive,mes,5.488196821737878
COFs,Progressive,ts,2.1749262888865055
COFs,Pseudo-Labeling,greedy,1.227952399443367
COFs,Pseudo-Labeling,ei,6.36194179342606
COFs,Pseudo-Labeling,pi,5.957753126232687
COFs,Pseudo-Labeling,ucb,5.850197111656488
COFs,Pseudo-Labeling,mes,6.134424624463238
COFs,Pseudo-Labeling,ts,2.497320923999807
COFs,Sequential,greedy,0.4208631880556418
COFs,Sequential,ei,7.1452132941209285
COFs,Sequential,pi,8.090793844191804
COFs,Sequential,ucb,7.143641676916301
COFs,Sequential,mes,7.625301720854142
COFs,Sequential,ts,4.30249300524744
COFs,Soft Parameter Sharing,greedy,1.3705427381331674
COFs,Soft Parameter Sharing,ei,5.840311777107591
COFs,Soft Parameter Sharing,pi,5.665035440124627
COFs,Soft Parameter Sharing,ucb,6.893997267877445
COFs,Soft Parameter Sharing,mes,6.564443247088285
COFs,Soft Parameter Sharing,ts,2.062937357353438
COFs,Two-Stage Joint,greedy,1.8875794777711334
COFs,Two-Stage Joint,ei,4.235438250231523
COFs,Two-Stage Joint,pi,4.863161396296751
COFs,Two-Stage Joint,ucb,5.711748490717127
COFs,Two-Stage Joint,mes,5.527226596895035
COFs,Two-Stage Joint,ts,2.952441984193505
FreeSolv,Adapter,greedy,1.0594999999999999
FreeSolv,Adapter,ei,1.3370000000000002
FreeSolv,Adapter,pi,1.0645000000000002
FreeSolv,Adapter,ucb,1.514
FreeSolv,Adapter,mes,1.3125
FreeSolv,Adapter,ts,0.36449999999999994
FreeSolv,Curriculum,greedy,0.6489999999999999
FreeSolv,Curriculum,ei,0.6730000000000002
FreeSolv,Curriculum,pi,0.6910000000000002
FreeSolv,Curriculum,ucb,0.6415
